panel,value_role,experimental_unit,unit_id,E,subject_id,Treatment,Sex,Genotype,study_day,value_name,plotted_value
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,POMC,3,body_weight_change_pct,-14.532208588957053
C,mouse_trajectory_descriptive,mouse_descriptive_only,E5|FR4-3,E5,E5|FR4-3,Allulose,Male,POMC,6,body_weight_change_pct,-20.13036809815951
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,POMC,3,body_weight_change_pct,-16.633532140490388
C,mouse_trajectory_descriptive,mouse_descriptive_only,E6|FR3-2,E6,E6|FR3-2,Allulose,Male,POMC,6,body_weight_change_pct,-20.8416169648774
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-1,E7,E7|FR7-1,Sucrose,Female,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-1,E7,E7|FR7-1,Sucrose,Female,NPY,3,body_weight_change_pct,0.7123287671232822
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-1,E7,E7|FR7-1,Sucrose,Female,NPY,6,body_weight_change_pct,1.36986301369863
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-3,E7,E7|FR7-3,Sucrose,Female,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-3,E7,E7|FR7-3,Sucrose,Female,NPY,3,body_weight_change_pct,3.022670025188906
C,mouse_trajectory_descriptive,mouse_descriptive_only,E7|FR7-3,E7,E7|FR7-3,Sucrose,Female,NPY,6,body_weight_change_pct,2.4181360201511177
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-1,E8,E8|FR6-1,Allulose,Female,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-1,E8,E8|FR6-1,Allulose,Female,NPY,3,body_weight_change_pct,-2.9585798816568114
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-1,E8,E8|FR6-1,Allulose,Female,NPY,6,body_weight_change_pct,0.1972386587771161
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-3,E8,E8|FR6-3,Allulose,Female,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-3,E8,E8|FR6-3,Allulose,Female,NPY,3,body_weight_change_pct,-12.142152023692008
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-3,E8,E8|FR6-3,Allulose,Female,NPY,6,body_weight_change_pct,-1.6288252714708875
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-4,E8,E8|FR6-4,Allulose,Female,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-4,E8,E8|FR6-4,Allulose,Female,NPY,3,body_weight_change_pct,-3.8361845515811215
C,mouse_trajectory_descriptive,mouse_descriptive_only,E8|FR6-4,E8,E8|FR6-4,Allulose,Female,NPY,6,body_weight_change_pct,2.643856920684301
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,Unknown,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,Unknown,3,body_weight_change_pct,-0.0784006272050299
C,mouse_trajectory_descriptive,mouse_descriptive_only,E9|FR8-1,E9,E9|FR8-1,Sucrose,Male,Unknown,6,body_weight_change_pct,-0.9800078400627203
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,Mixed,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,Mixed,3,body_weight_change_pct,4.522357723577239
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR1-1,E10,E10|FR1-1,Water,Female,Mixed,6,body_weight_change_pct,2.7947154471544757
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,Mixed,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,Mixed,3,body_weight_change_pct,-0.3352490421455952
C,mouse_trajectory_descriptive,mouse_descriptive_only,E10|FR7-2,E10,E10|FR7-2,Water,Female,Mixed,6,body_weight_change_pct,-0.6226053639846696
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,POMC,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,POMC,3,body_weight_change_pct,-2.356109054190506
C,mouse_trajectory_descriptive,mouse_descriptive_only,E11|FR3-3,E11,E11|FR3-3,Water,Male,POMC,6,body_weight_change_pct,-2.524402558061259
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,NPY,1,body_weight_change_pct,0.0
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,NPY,3,body_weight_change_pct,-0.6641760066417607
C,mouse_trajectory_descriptive,mouse_descriptive_only,E12|FR8-2,E12,E12|FR8-2,Water,Male,NPY,6,body_weight_change_pct,-1.4113740141137396
C,cage_day_trajectory,cage,E1,E1,,Sucrose,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E1,E1,,Sucrose,,,3,body_weight_change_pct,3.2316071205797785
C,cage_day_trajectory,cage,E1,E1,,Sucrose,,,6,body_weight_change_pct,4.453104889435195
C,cage_day_trajectory,cage,E10,E10,,Water,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E10,E10,,Water,,,3,body_weight_change_pct,2.093554340715822
C,cage_day_trajectory,cage,E10,E10,,Water,,,6,body_weight_change_pct,1.086055041584903
C,cage_day_trajectory,cage,E11,E11,,Water,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E11,E11,,Water,,,3,body_weight_change_pct,-2.356109054190506
C,cage_day_trajectory,cage,E11,E11,,Water,,,6,body_weight_change_pct,-2.524402558061259
C,cage_day_trajectory,cage,E12,E12,,Water,,,1,body_weight_change_pct,0.0
C,cage_day_trajectory,cage,E12,E12,,Water,,,3,body_weight_change_pct,-0.6641760066417607
C,cage_day_trajectory,cage,E12,E12,,Water,,,6,body_weight_change_pct,-1.4113740141137396
C,cage_day_trajectory,cage,E2,E2,,Allulose,,,1,body_weight_change_pct,0.0
