sample_id,treatment,cohort,organ,PC1,PC2,PC1_variance_fraction,PC2_variance_fraction,composition_classes_used,composition_class_count
m26-024,Sucrose,POMC,Liver,2.387791865289194,-0.28593984512960113,0.5281156438401031,0.2560082527271288,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-001,Sucrose,NPY,Spleen,-1.4546966159001933,0.26619690716529476,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-002,Sucrose,NPY,Spleen,2.073870227545226,-0.19277194938171824,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-003,Sucrose,POMC,Spleen,1.969957864187322,-2.1379297372043196,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-004,Sucrose,NPY,Spleen,-0.8082394989159409,-0.10470486936880391,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-005,Sucrose,POMC,Spleen,1.0578262433525452,-1.9725553980520154,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-006,Sucrose,POMC,Spleen,-1.6324095027026218,-0.041393736519952304,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-007,Sucrose,POMC,Spleen,-1.822712315299003,0.6301055510461662,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-008,Allulose,POMC,Spleen,-2.2590277644558387,-0.18737639318291333,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-009,Allulose,POMC,Spleen,0.18771403588157476,-2.128109919699193,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-010,Allulose,POMC,Spleen,-4.302553466923985,0.4706436647065538,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-011,Allulose,POMC,Spleen,0.1729089131715691,-1.1103052942908795,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-012,Allulose,NPY,Spleen,-0.7514871220985899,0.2613318868977344,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-013,Allulose,POMC,Spleen,2.54707235259019,1.1308633011965052,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-014,Allulose,NPY,Spleen,0.752257667173998,2.0234890838488377,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-015,Water,POMC,Spleen,1.132591541705783,-0.2870976366796174,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-016,Water,POMC,Spleen,1.0586708663606537,-0.7130218738811676,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-017,Water,POMC,Spleen,-0.38464594714621203,-0.4857512071940581,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-018,Water,POMC,Spleen,0.07719350072472331,-0.14162749773532143,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-019,Water,NPY,Spleen,0.048153815122223165,-0.7319938827409258,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-020,Water,NPY,Spleen,-0.6549672362377628,0.27781511490531274,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-021,Water,NPY,Spleen,0.41642061373550465,2.5742271242465278,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-022,Allulose,POMC,Spleen,0.4933004482636867,1.9000910552952073,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-023,Sucrose,POMC,Spleen,2.665583760613896,1.7203855984876153,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-024,Sucrose,POMC,Spleen,-0.5827823807487542,-1.0205098918648692,0.5099830757560833,0.3061057634345023,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
