sample_id,treatment,cohort,organ,model_class_raw,displayed_class_count,displayed_total_count,displayed_class_fraction,displayed_class_percent,log10_displayed_class_count_plus_1,phenotype_display
m26-002,Sucrose,NPY,Spleen,Macrophages,2269,21567,0.10520702925766216,10.520702925766216,3.3560258571931225,Macrophage-like
m26-002,Sucrose,NPY,Spleen,Muscle Cell,19,21567,0.0008809755645198683,0.08809755645198683,1.3010299956639813,Muscle-like
m26-002,Sucrose,NPY,Spleen,Endothelial Cell,27,21567,0.0012519126443177077,0.12519126443177075,1.4471580313422192,Endothelial-like
m26-002,Sucrose,NPY,Spleen,Red blood cell,0,21567,0.0,0.0,0.0,RBC-like
m26-002,Sucrose,NPY,Spleen,Epithelial,3373,21567,0.15639634626976398,15.639634626976399,3.5281450782531065,Epithelial-like
m26-002,Sucrose,NPY,Spleen,Apoptotic Body,105,21567,0.004868549172346641,0.4868549172346641,2.0253058652647704,Apoptotic-like
m26-002,Sucrose,NPY,Spleen,Mitotic Figures,0,21567,0.0,0.0,0.0,Mitotic-like
m26-002,Sucrose,NPY,Spleen,Minor Stromal Cell,0,21567,0.0,0.0,0.0,Minor stromal-like
m26-003,Sucrose,POMC,Liver,Lymphocytes,4,3394,0.0011785503830288745,0.11785503830288745,0.6989700043360189,Lymphocyte-like
m26-003,Sucrose,POMC,Liver,Fibroblasts,224,3394,0.06599882144961697,6.599882144961697,2.3521825181113627,Fibroblast-like
m26-003,Sucrose,POMC,Liver,Plasmocytes,2,3394,0.0005892751915144372,0.05892751915144372,0.47712125471966244,Plasmocyte-like
m26-003,Sucrose,POMC,Liver,Eosinophils,0,3394,0.0,0.0,0.0,Eosinophil-like
m26-003,Sucrose,POMC,Liver,Neutrophils,18,3394,0.005303476723629935,0.5303476723629935,1.2787536009528289,Neutrophil-like
m26-003,Sucrose,POMC,Liver,Macrophages,29,3394,0.00854449027695934,0.8544490276959339,1.4771212547196624,Macrophage-like
m26-003,Sucrose,POMC,Liver,Muscle Cell,4,3394,0.0011785503830288745,0.11785503830288745,0.6989700043360189,Muscle-like
m26-003,Sucrose,POMC,Liver,Endothelial Cell,0,3394,0.0,0.0,0.0,Endothelial-like
m26-003,Sucrose,POMC,Liver,Red blood cell,0,3394,0.0,0.0,0.0,RBC-like
m26-003,Sucrose,POMC,Liver,Epithelial,214,3394,0.06305244549204478,6.3052445492044775,2.3324384599156054,Epithelial-like
m26-003,Sucrose,POMC,Liver,Apoptotic Body,2899,3394,0.8541543901001768,85.41543901001768,3.462397997898956,Apoptotic-like
m26-003,Sucrose,POMC,Liver,Mitotic Figures,0,3394,0.0,0.0,0.0,Mitotic-like
m26-003,Sucrose,POMC,Liver,Minor Stromal Cell,0,3394,0.0,0.0,0.0,Minor stromal-like
m26-003,Sucrose,POMC,Kidney,Lymphocytes,52,13395,0.0038820455393803657,0.38820455393803655,1.7242758696007892,Lymphocyte-like
m26-003,Sucrose,POMC,Kidney,Fibroblasts,944,13395,0.07047405748413588,7.0474057484135875,2.975431808509263,Fibroblast-like
m26-003,Sucrose,POMC,Kidney,Plasmocytes,0,13395,0.0,0.0,0.0,Plasmocyte-like
m26-003,Sucrose,POMC,Kidney,Eosinophils,0,13395,0.0,0.0,0.0,Eosinophil-like
m26-003,Sucrose,POMC,Kidney,Neutrophils,4,13395,0.0002986188876446435,0.02986188876446435,0.6989700043360189,Neutrophil-like
m26-003,Sucrose,POMC,Kidney,Macrophages,2264,13395,0.16901829040686822,16.90182904068682,3.3550682063488506,Macrophage-like
m26-003,Sucrose,POMC,Kidney,Muscle Cell,47,13395,0.0035087719298245615,0.3508771929824561,1.6812412373755872,Muscle-like
m26-003,Sucrose,POMC,Kidney,Endothelial Cell,0,13395,0.0,0.0,0.0,Endothelial-like
m26-003,Sucrose,POMC,Kidney,Red blood cell,0,13395,0.0,0.0,0.0,RBC-like
m26-003,Sucrose,POMC,Kidney,Epithelial,8858,13395,0.6612915266890631,66.12915266890631,3.947384701684741,Epithelial-like
m26-003,Sucrose,POMC,Kidney,Apoptotic Body,1226,13395,0.09152668906308324,9.152668906308325,3.0888445627270045,Apoptotic-like
m26-003,Sucrose,POMC,Kidney,Mitotic Figures,0,13395,0.0,0.0,0.0,Mitotic-like
