sample_id,treatment,cohort,organ,selected_tile_count,analyzed_tissue_area_mm2,classical_nuclei_count,classical_nuclei_density_mm2,hematoxylin_mean,eosin_mean,tissue_fraction,laplacian_variance,classical_nucleus_area_median_um2,classical_nucleus_eccentricity_median,classical_nucleus_solidity_median
m26-011,Allulose,POMC,Kidney,24,3.161332,23433,7412.381869414538,0.056215957827034896,0.024103499053278188,0.7869387755102041,1142.2038861990727,14.375,0.7306058540797012,0.9261595573902076
m26-011,Allulose,POMC,Liver,24,3.57480375,26415,7389.216820643651,0.056841795752325834,0.03281598601553894,0.8732185374149659,1006.7650822207638,11.25,0.7439650313056009,0.9087708066581306
m26-011,Allulose,POMC,Spleen,24,3.5433145,53041,14969.317569750017,0.15024710332552588,0.04322361785902427,0.8891857993197279,3601.208142134183,10.125,0.6968807959992966,0.9333333333333332
m26-012,Allulose,NPY,Kidney,24,2.8244542500000005,24813,8785.059981056516,0.0574393243474079,0.02448688322308837,0.6978075396825396,1056.113067240823,16.0,0.7252361758600987,0.9337506438486054
m26-012,Allulose,NPY,Liver,24,3.0651040000000003,18232,5948.248411799404,0.05719987584741396,0.02939402284315736,0.7258779761904762,1125.7808083832128,12.25,0.7480835349291288,0.9166666666666666
m26-012,Allulose,NPY,Spleen,24,3.437618,73188,21290.323706706215,0.14950942344844445,0.03338423795879349,0.8375722789115646,3672.08772013373,10.75,0.6981879687165717,0.9327683615819209
m26-013,Allulose,POMC,Kidney,24,2.72354375,22204,8152.613667395649,0.060937376599077414,0.023437809488776468,0.6732745181405896,1065.708426447417,15.0,0.7473410850856754,0.9310344827586208
m26-013,Allulose,POMC,Liver,24,3.2645494999999998,17280,5293.226523292112,0.06624993252903323,0.03163397473582538,0.8112230725623583,1243.5623203368627,11.75,0.7396533853239534,0.9176356589147288
m26-013,Allulose,POMC,Spleen,24,3.2505319999999998,70066,21555.240803659217,0.12396079459734341,0.01889457924508877,0.7820337301587301,3016.756439194404,12.0,0.651688886515138,0.9371710526315791
m26-014,Allulose,NPY,Kidney,24,2.8087899999999997,25198,8971.122796649091,0.04468986699213893,0.01905448522280308,0.6904443027210885,1265.6231696544967,13.875,0.7428575548133115,0.9267395982783357
m26-014,Allulose,NPY,Liver,24,3.065369,19897,6490.89881185593,0.042606112667206014,0.02284236076039854,0.7575843253968254,994.5054383625471,13.25,0.7306235768983642,0.9128058921358992
m26-014,Allulose,NPY,Spleen,24,3.301581,70392,21320.694539979482,0.08205774371246295,0.011728600268849764,0.8032624716553288,3260.835842833488,12.875,0.6766414710819881,0.9384469696969697
m26-015,Water,POMC,Kidney,24,3.00274775,25425,8467.24470944987,0.04941279509360471,0.022897919526500422,0.718407029478458,1479.0989985927188,15.375,0.7353131071700425,0.9304649758454107
m26-015,Water,POMC,Liver,24,3.15467875,20446,6481.167060195908,0.04460498802382124,0.02154215923980399,0.7715518707482993,2002.908619178435,11.5,0.7594585188540162,0.902439024390244
m26-015,Water,POMC,Spleen,24,2.88045675,49261,17101.801650033452,0.10776012408072166,0.02334368723787477,0.6948639455782313,3078.9388213425195,12.25,0.641045692758419,0.9444444444444444
m26-016,Water,POMC,Kidney,24,3.06825775,20591,6710.974656545723,0.04348840830262395,0.018506743596721324,0.715329506802721,1292.0348515927626,12.5,0.7487501413909545,0.9234068730251936
m26-016,Water,POMC,Liver,24,3.3648687500000003,39028,11598.669338885802,0.04252980218526287,0.021672597979757093,0.8164838435374149,1843.9523744342234,7.0,0.758480191907771,0.9047619047619048
m26-016,Water,POMC,Spleen,24,3.270312,54607,16697.79519507619,0.07999407818768796,0.015314997354634149,0.8246960034013606,3588.6633513780857,12.0625,0.6805225181254743,0.9379807692307691
m26-017,Water,POMC,Kidney,24,2.9034750000000003,20922,7205.848164699196,0.045351755012025596,0.021486380469075625,0.7141220238095238,1154.6941495087547,15.125,0.7373110799718227,0.9280538302277432
m26-017,Water,POMC,Liver,24,3.46216325,46036,13296.888874318678,0.04342071651073864,0.022611705852876064,0.8166404478458049,1587.4818405630754,7.75,0.7543536723585383,0.901295719206167
m26-017,Water,POMC,Spleen,24,3.3365495000000003,74759,22406.08149227218,0.10833616346314007,0.02274746049211097,0.8165001417233559,3923.6459459126295,12.75,0.6922464168614126,0.9304295220810648
m26-018,Water,POMC,Kidney,24,3.55173725,31563,8886.637095691693,0.048179822852591876,0.01947782816638258,0.8558241213151927,1493.1410943009457,11.625,0.7495274148307605,0.913631940840685
m26-018,Water,POMC,Liver,24,3.3713475,25564,7582.724711706521,0.046470781695248875,0.020961385731008097,0.8462429138321996,2253.9933557591667,8.875,0.7354455302987224,0.9160527266161069
m26-018,Water,POMC,Spleen,24,3.4435625,61292,17799.009020454832,0.08830131925944826,0.014650736262146136,0.845564058956916,3249.8004995888045,12.375,0.6997856715621057,0.9310344827586208
m26-019,Water,NPY,Kidney,24,2.91051675,20945,7196.316599105639,0.04514589613074695,0.020602751704934114,0.7249766156462585,771.0937730648886,18.25,0.7206289221190934,0.9336477987421383
m26-019,Water,NPY,Liver,24,3.3230375,25819,7769.698656725963,0.04536862083799115,0.025246936937050084,0.8345493197278911,1081.6577064841156,10.25,0.7300769609616711,0.9098836004421111
m26-019,Water,NPY,Spleen,24,3.51551525,77845,22143.269041429987,0.11191840793544319,0.023514530639388454,0.8737988945578232,3385.4516456093706,12.5625,0.6989225843628417,0.9300285597715218
m26-020,Water,NPY,Kidney,24,2.9515149999999997,26142,8857.146245233382,0.050041178008557334,0.018172544806271073,0.7419494047619047,934.8156431533619,17.25,0.7183975325839315,0.9336996336996336
m26-020,Water,NPY,Liver,24,3.489075,29156,8356.369524874071,0.051592288236839624,0.023370888295400342,0.8490284863945579,1026.5284179404393,13.25,0.7132880530388716,0.914769975786925
m26-020,Water,NPY,Spleen,24,3.77428825,85978,22779.924135365123,0.11181819909757354,0.020314239319850675,0.9148143424036281,3351.5623068816612,12.5,0.6952356649553999,0.9314263322884013
m26-021,Water,NPY,Kidney,24,3.2446027500000003,27171,8374.21468622006,0.042427916267767866,0.01940169387344096,0.8087825963718821,1268.2227848033024,12.25,0.7473440139254965,0.9177378598110305
m26-021,Water,NPY,Liver,24,3.3742375000000004,24918,7384.779524262888,0.041919338366290124,0.023948584711600347,0.8334460034013605,1489.9564675378695,12.0,0.7256348033113151,0.9166666666666666
m26-021,Water,NPY,Spleen,24,3.712199,74670,20114.76216657566,0.08834768247285986,0.01766651216613846,0.9025021258503403,3354.9469610217493,12.75,0.6895620975218131,0.935304465546401
m26-022,Allulose,POMC,Kidney,24,3.06593775,24262,7913.402677533163,0.04323616991637124,0.020205957948887333,0.734812925170068,855.9836132311517,19.25,0.7249018607658262,0.9333333333333332
m26-022,Allulose,POMC,Liver,24,3.493456,31221,8936.995342148291,0.03797341246276528,0.02037968969518923,0.8661791383219954,649.8307788446698,9.5,0.7285185097540204,0.9
m26-022,Allulose,POMC,Spleen,24,3.34297425,68305,20432.4038690995,0.10356595760363646,0.02349808659855453,0.87515731292517,3103.7022430342113,13.25,0.6670540932931713,0.9379807692307691
m26-023,Sucrose,POMC,Kidney,24,3.4312515,26979,7862.728803178665,0.03624637667921559,0.017723644324848742,0.8380598072562359,820.3400050118719,18.5,0.6923725033040895,0.9321783730414634
m26-023,Sucrose,POMC,Liver,24,3.47636425,41376,11902.08994929113,0.037109922107733416,0.018799473493093983,0.8777161281179138,916.8444583677982,8.5,0.7449372539295847,0.8939869620860663
m26-023,Sucrose,POMC,Spleen,24,3.56266275,67875,19051.761214277158,0.06400171580167754,0.01392179474073463,0.8740759637188209,2503.677283756212,14.25,0.6396683511896954,0.9419447253117628
m26-024,Sucrose,POMC,Kidney,24,2.81889875,24333,8632.094359543777,0.05454012407768413,0.025128096668584766,0.6687329931972789,768.6951702969809,13.625,0.7832139898742689,0.912390350877193
m26-024,Sucrose,POMC,Liver,24,3.2454644999999998,29626,9128.43138478329,0.05509549602212505,0.024445910959202906,0.7932001133786848,895.789034077625,10.0,0.7224971589363784,0.9127545651714409
m26-024,Sucrose,POMC,Spleen,24,3.51551825,73688,20960.778684622102,0.11795544300179057,0.035657174904559226,0.8873880385487528,3015.7739565598745,12.75,0.6983398139273458,0.9279220779220779
