sample_id,treatment,cohort,organ,water_reference_deviation,log1p_water_reference_deviation,reference_water_n,reference_rule,composition_classes_used,composition_class_count
m26-022,Allulose,POMC,Liver,2.050808743728935,1.115406717348462,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-023,Sucrose,POMC,Liver,5.156424996334032,1.8174962513347084,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-024,Sucrose,POMC,Liver,2.7804240011446666,1.3298361729559467,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Neutrophils|Macrophages|Muscle Cell|Epithelial|Apoptotic Body,7
m26-001,Sucrose,NPY,Spleen,3.802735842524635,1.5691857227368713,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-002,Sucrose,NPY,Spleen,5.667484292906535,1.897242621301709,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-003,Sucrose,POMC,Spleen,4.857644507351657,1.767747561578073,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-004,Sucrose,NPY,Spleen,2.694187236864127,1.3067605672451243,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-005,Sucrose,POMC,Spleen,4.294334186786553,1.6666372273861583,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-006,Sucrose,POMC,Spleen,4.80694755485275,1.759055054982288,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-007,Sucrose,POMC,Spleen,4.936655007554337,1.7811458447159234,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-008,Allulose,POMC,Spleen,4.934111763022283,1.780717356039477,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-009,Allulose,POMC,Spleen,4.978369211292747,1.788147823629505,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-010,Allulose,POMC,Spleen,9.177044639184434,2.32013465848144,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-011,Allulose,POMC,Spleen,3.2405749709857488,1.4446988664147178,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-012,Allulose,NPY,Spleen,2.3993506482984532,1.223584427587434,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-013,Allulose,POMC,Spleen,4.881674630512218,1.7718415224699187,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-014,Allulose,NPY,Spleen,2.84559169903251,1.3469274790329038,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-015,Water,POMC,Spleen,4.469994859364613,1.6992776766463573,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-016,Water,POMC,Spleen,2.9718107094229866,1.3792220888094129,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-017,Water,POMC,Spleen,2.7070317349857445,1.3102314849589665,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-018,Water,POMC,Spleen,1.990295762259222,1.0953722996541695,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-019,Water,NPY,Spleen,2.4663034508749706,1.2430887382039946,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-020,Water,NPY,Spleen,2.184137687657344,1.1581815106581335,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-021,Water,NPY,Spleen,10.249171910570906,2.4202945179919784,6,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-022,Allulose,POMC,Spleen,2.62264779456984,1.2872051934335376,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-023,Sucrose,POMC,Spleen,5.470277515881111,1.8672190003102709,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
m26-024,Sucrose,POMC,Spleen,3.3855374183631612,1.4783121766641232,7,leave-one-out for Water; all Water controls for sugar groups,Lymphocytes|Fibroblasts|Plasmocytes|Neutrophils|Macrophages|Muscle Cell|Endothelial Cell|Epithelial|Apoptotic Body,9
