sample_id,treatment,cohort,organ,model_class_raw,clr_value,analysis_eligible,detected_animals,total_class_count,eligibility_rule,pseudocount_applied,phenotype_display,pseudocount
m26-021,Water,NPY,Kidney,Neutrophils,-4.677316631301277,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-022,Allulose,POMC,Kidney,Neutrophils,-3.863367261847925,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-023,Sucrose,POMC,Kidney,Neutrophils,-3.2025370018027655,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-024,Sucrose,POMC,Kidney,Neutrophils,-2.734810822754765,True,24,147,detected_animals>=18 and total_class_count>=24 within organ,True,Neutrophil-like,0.5
m26-001,Sucrose,NPY,Kidney,Macrophages,2.283899803155446,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-002,Sucrose,NPY,Kidney,Macrophages,1.6254585465311377,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-003,Sucrose,POMC,Kidney,Macrophages,1.9961895744117943,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-004,Sucrose,NPY,Kidney,Macrophages,1.6223618326664067,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-005,Sucrose,POMC,Kidney,Macrophages,1.5821542327990938,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-006,Sucrose,POMC,Kidney,Macrophages,1.9631628571660311,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-007,Sucrose,POMC,Kidney,Macrophages,2.085314240025997,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-008,Allulose,POMC,Kidney,Macrophages,2.42213168589807,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-009,Allulose,POMC,Kidney,Macrophages,0.517235918509503,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-010,Allulose,POMC,Kidney,Macrophages,1.0467631218374671,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-011,Allulose,POMC,Kidney,Macrophages,1.2439632276390742,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-012,Allulose,NPY,Kidney,Macrophages,2.0575493741573916,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-013,Allulose,POMC,Kidney,Macrophages,2.0118229010135207,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-014,Allulose,NPY,Kidney,Macrophages,2.048338870428035,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
m26-015,Water,POMC,Kidney,Macrophages,1.4078777723205569,True,24,28448,detected_animals>=18 and total_class_count>=24 within organ,True,Macrophage-like,0.5
