morphometric_proposals,dino_logistic
0.7700751952602578,0.564680239037786
0.6957633053221288,0.5498983832663501
0.7331220518867925,0.5346521226415094
0.6919070512820512,0.5488782051282052
0.7907261129267242,0.5775410497625002
0.7033573650745863,0.5346747919399583
0.7448662617220801,0.6301124254049446
0.736674998737565,0.6675629955057314
0.740353466026081,0.5252848318462594
0.8023667526327101,0.5993015258972706
0.7240909090909091,0.5133838383838384
0.7600274725274725,0.6175824175824176
0.7504041248606466,0.5754041248606465
0.7531053835274293,0.598147663326412
0.7252716319759437,0.5928460121011896
0.750625,0.5175000000000001
0.7413523017902814,0.5589780477408355
0.7510011995047207,0.5818807073208482
0.7473129118627106,0.5156677498855567
0.7543129397924893,0.5434832862635532
0.748891507043681,0.6417224080267558
0.664111085436917,0.5555962772078447
0.7931586468412597,0.59630104232824
0.7650904862312586,0.5333869822300962
0.702581302194782,0.5540495544193689
0.723105458399576,0.5135797562268151
0.6686247533727938,0.6090825467925132
0.7918494893733331,0.6316973591393752
0.7823203686724894,0.5467343048786373
0.781298174155317,0.5621814318242889
0.787432712215321,0.6729192546583851
0.7325178911784802,0.5852985159612089
0.727706043956044,0.5437362637362637
0.7331501831501832,0.5944085326438268
0.7529332793432735,0.49341517707970073
0.7862500000000001,0.6079761904761904
0.6948040385540385,0.5241997585747585
0.7588266998341625,0.6311774461028192
0.767251818472341,0.6423744657220115
0.7172942970722803,0.555660382862048
0.7670502983802217,0.6076300085251491
0.727641129032258,0.6214650537634407
0.6475776344362076,0.491500682833599
0.7348109355426518,0.5734755529490105
0.7018672600619195,0.5155605005159958
0.7633180554632077,0.5958158369860421
0.7579012632721073,0.5482097186700767
0.7505703958162429,0.607495043751709
0.7718464122355633,0.585673956546598
0.8103825522303784,0.5695787455298326
0.7449607049297452,0.5372866555529094
0.7385882749326145,0.5775190925426774
0.7283036454018227,0.5259424192212097
0.6944471712735727,0.49104765036048936
0.7439023526077098,0.560437925170068
0.7574805158494391,0.5838020305455562
0.7775448943927205,0.6140362770797554
0.752812919838782,0.49988571055381403
0.7375761028943006,0.5356488269794721
0.7467220990391723,0.5794567627494456
0.7980311355311356,0.5892450142450143
0.7799362674362674,0.5424105182257356
0.7731481481481483,0.5832175925925926
0.7444779026313314,0.550222769525471
0.7364028314028314,0.5761518661518662
0.7599730147265359,0.577694013081337
0.741139713461142,0.5164424860853432
0.7492300429973693,0.6107801052304037
0.7198259819466044,0.5249275865963529
0.7308073281907433,0.49147820243104257
0.7523260321767785,0.6036174646249273
0.71919284025667,0.5781357649442755
0.7730514599877458,0.5606376596345375
0.718015821305295,0.5662027872554188
0.7877664291726791,0.6058779761904762
0.6937971342383107,0.5878582202111613
0.8019542135031323,0.6242399341208197
0.6802835883223871,0.5572555616719184
0.7135968137254902,0.5440808823529412
0.713963024234084,0.6203603392576542
0.7268538463237894,0.6603343716861081
0.7751425438596491,0.5726644736842105
0.7801056664588814,0.5438782884567629
0.7833399236775376,0.5720796929527253
0.7058754189073337,0.5939014885823397
0.7115376223239126,0.5534307762130343
0.77538789428815,0.5869394714407503
0.7333771700379756,0.5718473901418275
0.7464296656663766,0.5783837821276401
0.6983913863350983,0.5328717301967809
0.7114560322443126,0.4597469717130222
0.7414058181315644,0.5848362354892205
0.7616640209283302,0.5855376248289044
0.6930927296620354,0.4765094122404052
0.7569798766634209,0.5185378123985719
0.7424145299145298,0.555128205128205
0.722010647010647,0.5314214782964783
0.7289433785455988,0.5836807549527254
0.7154647435897435,0.566941889632107
0.7802621048419367,0.603266306522609
0.7692756589815413,0.6325100553041729
0.7531497209492845,0.5669453707022349
0.7563405433553256,0.520994069175458
0.6871500970065136,0.5411582552792491
0.7425084564485486,0.5522224989966925
0.7259692728442728,0.5667267200652295
0.7782941656766724,0.5855707019920952
0.6585926399545325,0.5551257459505541
0.687165629435528,0.5746726138866945
0.8008232367850908,0.5592429429334679
0.7521062271062271,0.5687957875457875
0.7213533748859836,0.621786953988041
0.7258805031446541,0.5165408805031446
0.7333162939174098,0.5706295823514009
0.7422846870429064,0.6149733768464445
0.6523178660039551,0.5002583640933806
0.7551980095376323,0.5564047273481235
0.7747087980932091,0.6141264384938856
0.7558564291101055,0.6422982654600302
0.748426114835325,0.5419022636743418
0.7336919551752533,0.5422988534374823
0.692952893876849,0.5915193928448572
0.743048239196176,0.5831650570676031
0.7520645277341707,0.6089273449764522
0.7548024891774892,0.5525297619047619
0.7570276999688765,0.5807812013694367
0.7406026170561054,0.5659452897824991
0.7393985480841583,0.571438940139948
0.7904711735440445,0.5562964588820604
0.7799965274550505,0.5885747462073097
0.7478466386554623,0.5126890756302521
0.7358515700697531,0.5026377521754359
0.7534866536468392,0.58238085930861
0.6894950467804073,0.5411515252771444
0.7774273241634962,0.5966174031801775
0.7277402576026535,0.5760829197606487
0.721947936123311,0.5303140828243054
0.7377157800919412,0.5328155783844638
0.6627145438121047,0.5122101776573321
0.764224700203402,0.5774677782791373
0.7180451778054517,0.5461184553650307
0.730416961939351,0.5309104364130274
0.797150852678236,0.5466813162046428
0.7793028124995338,0.6118456384849827
0.7569954530808063,0.5764686190970606
0.7701367389060887,0.5453818369453044
0.7287932832707551,0.6248404255319149
0.7711265034017659,0.5496444304307634
0.7104224392459686,0.5768582027405557
0.8121668425913708,0.6071898914764481
0.7359127861670984,0.5780687274909964
0.7393795816198819,0.5936989689492818
0.6961189604046747,0.5374062445491017
0.7418012875648343,0.5521220058904788
0.7594499514719303,0.5654143627921575
0.7609467654290377,0.5499861825657555
0.7288577038577039,0.6133431508431508
0.8152518777518778,0.5780400155400156
0.7256956752924495,0.5788594470046083
0.7165277777777778,0.543154761904762
0.693937728937729,0.5364652014652015
0.7285121104270039,0.5670184622312282
0.7120263335938393,0.5868056531672092
0.7217049319727891,0.6003613945578231
0.7391987292418104,0.5974067330248773
0.7960042090807552,0.5957805969393041
0.7482120582120582,0.651018711018711
0.7657610177192185,0.6240663334847796
0.8104603813356328,0.6442061895180607
0.7438887443732893,0.5440892033815647
0.7123958333333333,0.49020833333333336
0.7579809668527122,0.6930225592472458
0.7053184910327767,0.5639208410636982
0.7126255707762558,0.544931506849315
0.7550829045168668,0.6277415666094912
0.7207579290426857,0.6238794237919858
0.6967080049800727,0.5236889923699165
0.8112496086968896,0.5838758217365321
0.7847308488612836,0.6353312629399586
0.7424223085460598,0.541625046244913
0.7525644290350173,0.53692092221504
0.7484352857817667,0.5770803779525691
0.7467013888888888,0.5806597222222222
0.7077969655753101,0.6169119790148645
0.7605187908496731,0.5735702614379085
0.7767677276390007,0.5546618990061778
0.7902958353152583,0.5749894297341578
0.7205425228320695,0.5768215651888177
0.7224968652162801,0.5625121797329244
0.7637564575064575,0.59501827001827
0.7442301064736718,0.5617153429364345
0.7684061703777556,0.5422499169159188
0.7318764122159377,0.583376359445236
0.8340263796673092,0.6277236381809095
0.7429549596485239,0.614056046932669
0.7295751633986929,0.6330969887955182
0.695014880952381,0.5292782738095239
0.7243794326241135,0.6779587765957447
0.7846430555056081,0.5560392966599137
0.7359277950310559,0.597955486542443
0.7272056601802199,0.5380649873066703
0.7654380341880342,0.569537037037037
0.8044252622377622,0.6214051573426573
0.7249043367346939,0.6316113945578231
0.7971151853807541,0.585910711779214
0.6873028506337988,0.626531761330815
0.6802169512409787,0.5513572287742768
0.7720674405749032,0.5995301271420674
0.7325244543645603,0.5846442250623787
0.7039773748264315,0.5813509760679573
0.7280699212902603,0.5097445555072674
0.7443187068187068,0.5679253554253554
0.7776338893766461,0.6540030937748234
0.7843566095740009,0.527111696676914
0.6645066214470283,0.4633577375825437
0.7233811447114057,0.6069386909693455
0.7321576048188951,0.5467373385115321
0.72374599509968,0.5195893104850859
0.6831829471387142,0.5331398771068424
0.761853446819324,0.5128484188098801
0.6875378787878788,0.5063194444444444
0.772100122100122,0.6126068376068377
0.809261337254295,0.5604887014394057
0.742989417989418,0.5745039682539683
0.7189431072409797,0.6240952198399007
0.7722209653092006,0.5676206636500754
0.731542075945061,0.564530977590679
0.7944600062247121,0.5572963528845882
0.7541918149503288,0.5624661214831493
0.7125100644122383,0.5941969783082315
0.7370870809090855,0.5420357713704489
0.7327600807764967,0.6108152563350921
0.713397654740541,0.5925200898968548
0.7705525606469003,0.5664663821503444
0.6678446695781421,0.5057578012792678
0.713818766372946,0.5517266015718028
0.7630288957688338,0.5863648090815273
0.7054643535735972,0.5186955901241616
0.8019840680554966,0.641114387542959
0.7362074303405572,0.6521181630546955
0.6980110673571404,0.49920995612615526
0.7050928373713184,0.5155678319285915
0.7043148888033118,0.5433414364108983
0.7311114880144731,0.5673072574191977
0.7474096036263969,0.5702864748049757
0.7224039938556068,0.5978341013824884
0.7831400165700083,0.5342101629384148
0.6873273910582909,0.5158650658905328
0.7759011957755084,0.6311352593756364
0.7668896321070235,0.5620540691192865
0.7115646258503401,0.6332446021887016
0.7477890941827788,0.5625374408938698
0.6917524509803923,0.5781346749226006
0.7504000385579334,0.5348515519568151
0.6973944566958189,0.5942340399817134
0.7587816944959801,0.6020166169234492
0.8073558516954744,0.6334828693319259
0.7976685328264487,0.6256242092129619
0.7480492982873892,0.5503830447036309
0.7474936061381074,0.6417007672634271
0.703394819466248,0.5816980638409209
0.7890018770615786,0.6519823045942449
0.6805075084519223,0.5371238754169803
0.7478025260283325,0.6206903908516812
0.6939402461889622,0.5469431537186489
0.6833653736614262,0.6201070858965596
0.7377004538551252,0.586111934483015
0.6928654052714203,0.4411148062463852
0.7702106227106227,0.5676473526473527
0.7819953780962853,0.6033062048512199
0.7300159282207155,0.5608644347673603
