animal_id,sample_id,condition,channel,role,used_by_numeric_analysis,path,size_bytes,sha256
E8_FR6-4,e8-fr6-4-alulosa,Allulose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_NeuN.tif,3922346,2d5dda1d57a870f88c88a7afc91fbd719c17ba342cf4904600a7c96783f2109d
E8_FR6-4,e8-fr6-4-alulosa,Allulose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E8-FR6-4_ALULOSA_fos.tif,3922346,a545e444fa819068b6ff0b1ab7d7488df543cc15f3f172126e03620a048de3c7
E7_FR7-1,e7-fr7-1,Sucrose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_dapi.tif,3922346,a931f7fa6d3f5e45ac61f3971d884c7b92f8fa47e37ecbedb070cc922e84c55e
E7_FR7-1,e7-fr7-1,Sucrose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_gfp.tif,3922346,15fa0d96d6a993cb9bfb23fa8f1095cb6dc98ce3b42a17240fe3b9c9a0a72b1c
E7_FR7-1,e7-fr7-1,Sucrose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_NeuN.tif,3922346,81bf24e723d1587b808fc7ed99388c52ad497f1af157b71aac99885301aa6090
E7_FR7-1,e7-fr7-1,Sucrose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-1_fos.tif,3922346,194d8db8be1a7443a5fe9c88bd0884ee3f395ee73d7a1556ba0c8e70b0e26eac
E7_FR7-5,e7-fr7-5,Sucrose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_dapi.tif,5730002,b0d6935331a4309b9fa2b8247b977f86b7be82f2ec4edbcff24f3e59fb751bfc
E7_FR7-5,e7-fr7-5,Sucrose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_gfp.tif,5730002,2a05c21b0c9ce32739ce2ee83a073b0836aee8b7daa39e04f7414753c24afda5
E7_FR7-5,e7-fr7-5,Sucrose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_NeuN.tif,5730002,0cb24c1c00891f35da03618487b13f01baffd817a9aa6f44ef6afd5ab6bcded9
E7_FR7-5,e7-fr7-5,Sucrose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E7-FR7-5_fos.tif,5730002,499961aa1b74ff15544cf705dedb09b57714e72f8ad7f6a98b7d7123a4e4b796
E9_FR8-1,e9-fr8-1,Sucrose,DAPI,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_dapi.tif,3922346,ad0c49580590499dd5d4a0e209acc3e843a7ff042fb60ceb371b653dd84fa31b
E9_FR8-1,e9-fr8-1,Sucrose,NPY,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_gfp.tif,3922346,8e73a7ffa1ca5a7a75a1189981e16c70a095574347d1f4fa2a14cf0c387cef57
E9_FR8-1,e9-fr8-1,Sucrose,NeuN,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_NeuN.tif,3922346,f52d4ae51416928a68a830c7e1030b9347049927dfa33222bdef8bbdc7f413b0
E9_FR8-1,e9-fr8-1,Sucrose,c-FOS,channel_tiff_companion,False,/tmp/fig3_human_accepted_raw_project_20260823_v1/Paper/Fig3/raw/legacy_experiment_2025_07_28/E9-FR8-1_fos.tif,3922346,f3f5c871429448ff2c8924082e346e42c0d5486b2c74d5e59c22e2cdcf88c910
