analysis_unit_id,acquisition_id,animal_id,condition,region,region_present,endpoint,endpoint_label,value,analysis_unit
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.0,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",0.0,acquisition
2026-07-09_FR5-3_Sucrose,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,ME,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,0.0,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,double_over_total_acth_clip,c-FOS+ ACTH/CLIP+ / total ACTH/CLIP,0.18181818181818182,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,total_cfos_over_dapi,total c-FOS+ / DAPI,0.07859733978234583,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,total_acth_clip_over_dapi,total ACTH/CLIP+ / DAPI,0.053204353083434096,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,double_over_dapi,c-FOS+ ACTH/CLIP+ / DAPI,0.009673518742442563,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,double_per_100k_um2,"c-FOS+ ACTH/CLIP+ / 100,000 µm²",2.808186123948361,acquisition
2026-07-09_FR5-4_Sucrose,2026-07-09_FR5-4_Sucrose,FR5-4,Sucrose,ARC,True,n_double,c-FOS+ ACTH/CLIP+ nuclei,8.0,acquisition
