analysis_unit_id,acquisition_id,marker,roi_label,roi_area_px,assigned_nucleus,best_overlap_px,roi_overlap_fraction,accepted,reason,marker_display,dapi_area_reference_n,dapi_area_quantile,dapi_area_threshold_px,dapi_area_median_px,size_filter_pass,likely_noncell_by_size,dapi_expansion_px
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,103,503,1454,411,0.8170974155069582,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,104,544,1455,528,0.9705882352941176,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,105,419,1450,400,0.954653937947494,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,106,702,1492,697,0.9928774928774928,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,107,623,1544,328,0.5264847512038523,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,108,637,1539,568,0.8916797488226059,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,109,652,1542,599,0.9187116564417178,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,110,293,1543,281,0.9590443686006825,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,111,619,1602,580,0.9369951534733441,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,112,419,1607,400,0.954653937947494,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,113,168,0,0,0.0,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,114,547,1629,515,0.9414990859232175,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,115,712,1636,599,0.8412921348314607,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,116,631,1656,534,0.8462757527733756,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,117,487,1694,367,0.7535934291581109,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,118,569,1712,509,0.8945518453427065,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,119,514,1707,372,0.7237354085603113,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,120,787,0,155,0.19695044472681067,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,121,667,1846,477,0.7151424287856072,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,122,481,1937,220,0.4573804573804574,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,123,480,0,0,0.0,False,overlap_below_threshold,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,124,597,2012,477,0.7989949748743719,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,125,350,2021,350,1.0,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,126,536,2035,362,0.6753731343283582,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,127,249,2049,194,0.7791164658634538,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,128,724,2085,586,0.8093922651933702,True,accepted_strict_direct_overlap,,,,,,,,
2026-07-09_FR5-1_Allulose,2026-07-09_FR5-1_Allulose,cFOS,129,439,2099,224,0.510250569476082,True,accepted_strict_direct_overlap,,,,,,,,
