endpoint,endpoint_label,acquisition_id,animal_id,condition,radial_shell,shell_dapi_nuclei,shell_positive_nuclei,occurrence,occurrence_percent,arcsin_sqrt_occurrence,experimental_unit,ventricle_exclusion_applied,ventricle_exclusion_source
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,3,253,2,0.007905138339920948,0.7905138339920948,0.08902840566541745,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,4,254,4,0.015748031496062992,1.574803149606299,0.1258228904110299,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,5,254,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-2_Allulose,FR5-2,Allulose,6,254,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,1,225,6,0.02666666666666667,2.666666666666667,0.16403394102297522,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,2,225,7,0.03111111111111111,3.111111111111111,0.17731104781930213,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,3,224,1,0.004464285714285714,0.4464285714285714,0.06686512438840016,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,4,225,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,5,225,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-10_FR4-3_Sucrose,FR4-3,Sucrose,6,225,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,1,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,2,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,3,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,4,211,0,0.0,0.0,0.0,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
double,c-FOS and ACTH/CLIP double-positive nuclei / DAPI nuclei,2026-07-09_FR5-3_Sucrose,FR5-3,Sucrose,5,211,1,0.004739336492890996,0.47393364928909953,0.06889733361282373,biological animal (one acquisition per animal),True,accepted per-acquisition DAPI-only HIL 3V mask
