animal_order,animal_id,sample_id,condition,condition_order,experimental_unit,field_count,endpoint,endpoint_label,radial_shell,shell_dapi_quantile_start,shell_dapi_quantile_end,shell_dapi_nuclei,shell_positive_nuclei,occurrence_rate,occurrence_percent,arcsin_sqrt_occurrence,shell_inner_whitened_radius,shell_outer_whitened_radius,inference_role
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,5,0.666666666667,0.833333333333,537,10,0.0186219739292,1.86219739292,0.136889475595,1.56578511437,1.77935507137,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,6,0.833333333333,1,538,16,0.0297397769517,2.97397769517,0.173318673464,1.77935507137,2.53090986956,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,1,0,0.166666666667,538,0,0,0,0,0.067335149803,0.86244544488,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,2,0.166666666667,0.333333333333,537,0,0,0,0,0.86244544488,1.16554456763,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,3,0.333333333333,0.5,537,0,0,0,0,1.16554456763,1.36070361961,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,4,0.5,0.666666666667,537,0,0,0,0,1.36070361961,1.56578511437,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,5,0.666666666667,0.833333333333,537,0,0,0,0,1.56578511437,1.77935507137,one component of one animal-level six-shell vector
3,WATER_NPY3,water-npy3-s01,Water,1,biological animal,1,double_occurrence,Ocurrencia espacial de núcleos dobles c-FOS y NPY positivos / núcleos DAPI,6,0.833333333333,1,538,0,0,0,0,1.77935507137,2.53090986956,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,1,0,0.166666666667,510,11,0.021568627451,2.1568627451,0.147395742573,0.220078670846,0.806145557729,one component of one animal-level six-shell vector
4,E7_FR7-1,e7-fr7-1,Sucrose,2,biological animal,1,cfos_occurrence,Ocurrencia espacial de núcleos c-FOS positivos / núcleos DAPI,2,0.166666666667,0.333333333333,510,10,0.0196078431373,1.96078431373,0.140489701754,0.806145557729,1.11343235437,one component of one animal-level six-shell vector
