field,pomc_label,region_code,region,area_px,centroid_y,centroid_x,dapi_reference_n,mean_dapi_area_px,minimum_pomc_area_px,excluded_small,decision
FR6-1_S02_left,22,2,ME,176,551.9715909090909,848.5909090909091,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,23,1,ARC,90,550.7111111111111,560.9333333333333,856,112.79556074766356,112.79556074766356,True,exclude_below_local_dapi_mean
FR6-1_S02_left,24,2,ME,188,572.8297872340426,786.6063829787234,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,25,2,ME,193,578.4507772020726,883.979274611399,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,26,2,ME,208,632.9663461538462,939.8798076923077,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,27,0,OUTSIDE_DELINEATED_REGIONS,119,510.1848739495798,231.05882352941177,817,120.70012239902081,120.70012239902081,True,exclude_below_local_dapi_mean
FR6-1_S02_left,28,0,OUTSIDE_DELINEATED_REGIONS,135,528.7259259259259,251.31851851851852,817,120.70012239902081,120.70012239902081,False,retain
FR6-1_S02_left,29,1,ARC,347,561.3371757925072,367.299711815562,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,30,1,ARC,103,525.8349514563107,423.07766990291265,856,112.79556074766356,112.79556074766356,True,exclude_below_local_dapi_mean
FR6-1_S02_left,31,1,ARC,209,406.7464114832536,358.99043062200957,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,32,1,ARC,236,379.34322033898303,484.385593220339,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,33,1,ARC,117,406.05982905982904,483.3162393162393,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,34,1,ARC,263,442.7794676806084,440.73384030418254,856,112.79556074766356,112.79556074766356,False,retain
FR6-1_S02_left,35,1,ARC,89,451.44943820224717,380.07865168539325,856,112.79556074766356,112.79556074766356,True,exclude_below_local_dapi_mean
FR6-1_S02_left,36,2,ME,218,583.8394495412844,869.5137614678899,227,96.34801762114537,96.34801762114537,False,retain
FR6-1_S02_left,37,2,ME,180,626.0611111111111,921.4722222222222,227,96.34801762114537,96.34801762114537,False,retain
